投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
486308,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际尊享版和高配氛围灯虚假宣传,销售欺诈与宣传不符,2020-06-20,信息审核
486304,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5行驶时变速箱脱挡无法挂挡,变速器无法换挡变速器脱挡,2020-06-20,处理反馈
486302,猎豹汽车,猎豹CS10,2017款 2.0T 手动 风尚型,猎豹CS10转向时异响并且卡顿 刹车抖动,转向系统异响转向系统卡滞制动系统抖动,2020-06-20,信息审核
486298,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,制动系统生锈车身附件及电器部件开裂车身附件及电器车灯进水,2020-06-20,处理反馈
486297,广汽本田,雅阁,2005款 2.4 自动 标准版,广汽本田雅阁吊拉设计的前悬挂存在安全隐患,其他疑似设计缺陷,2020-06-20,信息审核
486296,北京奔驰,奔驰C级,2016款 200 L 运动型,北京奔驰C级空调系统无法调节温度影响使用,车身附件及电器空调问题,2020-06-20,信息审核
486293,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5发动机生锈4S店不予解决,发动机缸体生锈,2020-06-20,厂家受理
486288,吉利汽车,星越,2019款 改款 350T 驭星者AWD,吉利星越实车多项配置与厂家宣传不符	,销售欺诈与宣传不符,2020-06-20,信息审核
486287,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉新车车门出现下沉,车身附件及电器车门故障,2020-06-20,信息审核
486286,吉利汽车,帝豪,2018款 1.5L 手动 豪华型,吉利帝豪发动机油耗高一直未解决,发动机油耗高,2020-06-20,信息审核
486283,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS车载微信缺失与宣传不符,销售欺诈与宣传不符,2020-06-20,处理反馈
486280,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机盖漆面开裂脱落,车身附件及电器漆面起泡开裂,2020-06-20,信息审核
486279,广汽丰田,雷凌,2019款 185T CVT 运动版 国VI,广汽丰田雷凌变速箱换挡顿挫 转向异响,变速器顿挫转向系统异响,2020-06-20,信息审核
486277,上汽通用五菱,宝骏360,2018款 1.5L 手动 精英型 国V,宝骏360更换的挡风玻璃漏水漏风4S店不解决,服务态度不解决问题人员技术维修技术差,2020-06-20,信息审核
486274,长安汽车,锐程CC,2020款 1.5T 自动 潮锐型,长安锐程CC行驶中突然熄火要求处理,发动机熄火,2020-06-20,处理反馈
486271,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯亮烧机油空调异响,发动机故障灯亮发动机烧机油车身附件及电器空调问题,2020-06-20,信息审核
486270,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌后减震器出现漏油的现象,前后桥及悬挂系统减震器漏油,2020-06-20,信息审核
486268,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉方向盘锁死故障灯亮,转向系统卡滞转向系统转向机故障转向系统故障灯亮,2020-06-20,信息审核
486267,一汽红旗,红旗HS7,2019款 3.0T 自动 四驱 旗悦版,红旗HS7换挡机构故障导致P挡挂不上,变速器挡把总成故障,2020-06-20,信息审核
486266,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响严重,变速器异响,2020-06-20,处理反馈
486262,广汽三菱,劲炫ASX,2018款 2.0L CVT 两驱 智橙版,广汽三菱劲炫触摸屏死机厂家未回复,车身附件及电器影音系统故障,2020-06-20,厂家受理
486261,比亚迪,比亚迪e2,2019款 400出行版,比亚迪e2下雨天前挡风玻璃上的雾气无法吹干,车身附件及电器空调问题,2020-06-20,处理反馈
486260,上汽大众,凌渡,2017款 230TSI 手动 风尚版,上汽大众凌渡一键升降失灵销售不管售后问题,车身附件及电器车窗升降故障服务态度不解决问题,2020-06-20,信息审核
486257,江铃汽车,域虎3,2018款 2.5T 四驱 进取版 长轴距 柴油,江铃域虎3底盘异响 SVS故障灯亮,发动机故障灯亮前后桥及悬挂系统底盘异响,2020-06-20,信息审核
486255,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,东风日产骐达减震器漏油售后服务态度差,前后桥及悬挂系统减震器漏油服务态度态度蛮横,2020-06-20,处理反馈
486254,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机存在金属撞击声,发动机异响,2020-06-20,信息审核
486252,上汽集团,名爵6,2019款 20T 自动 运动版,上汽名爵6保养后异响且存在汽油味,发动机异响人员技术修出新问题,2020-06-20,厂家受理
486251,一汽-大众,宝来,2019款 1.5L 手动 舒适型,一汽大众宝来发动机故障灯亮 离合器异响,发动机故障灯亮离合器异响,2020-06-20,用户评分
486250,吉利汽车,缤瑞,2019款 200T DCT 缤驰版,吉利缤瑞变速箱油封损坏导致漏油,变速器漏油,2020-06-20,信息审核
486249,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越厂家涉嫌欺诈不予升级车机系统,制动系统异响车身附件及电器部件开裂承诺不兑现服务承诺不兑现销售欺诈出售问题车,2020-06-20,信息审核
486248,广汽丰田,凯美瑞,2018款 2.0G 自动 豪华版,广汽丰田凯美瑞正常行驶中天窗异响,车身附件及电器天窗异响,2020-06-20,信息审核
486246,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响并且明显卡顿,转向系统异响转向系统卡滞,2020-06-20,信息审核
486244,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜出现白雾水珠亮度不够,车身附件及电器车灯不亮,2020-06-20,信息审核
486242,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障模糊不清存在隐患,车身附件及电器车灯不亮,2020-06-19,处理反馈
486241,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L左后轮偏磨吃胎 四缸漏油,发动机漏油前后桥及悬挂系统吃胎偏磨,2020-06-19,信息审核
486240,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉行驶过程中空调不制冷,车身附件及电器空调问题,2020-06-19,信息审核
486239,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越导航无法定位 倒车镜风噪大,车身附件及电器车载互联故障车身附件及电器后视镜故障承诺不兑现服务承诺不兑现,2020-06-19,信息审核
486237,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 都市版,东风本田CR-V变速箱渗油希望尽快解决,变速器漏油,2020-06-19,用户评分
486235,吉利汽车,博瑞,2020款 1.5T MHEV 耀享版,吉利博瑞旧车置换补贴款承诺不兑现,承诺不兑现销售承诺不兑现,2020-06-19,信息审核
486234,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越原地打方向异响 无挡位灯及雾灯,转向系统异响销售欺诈与宣传不符,2020-06-19,信息审核
486233,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾低速加速时变速箱存在口哨声,变速器异响,2020-06-19,信息审核
486232,观致汽车,观致5,2018款 1.6T 自动 尊贵型,观致5换挡逻辑混乱且变速箱脱挡,变速器脱挡变速器拖挡,2020-06-19,信息审核
486227,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱故障灯亮,变速器故障灯亮,2020-06-19,处理反馈
486224,北京奔驰,奔驰C级,2020款 C 260 运动版,北京奔驰C级韩泰轮胎容易鼓包破损,轮胎鼓包,2020-06-19,信息审核
486222,一汽-大众奥迪,奥迪Q2L,2020款 35TFSI 时尚动感型,一汽大众奥迪Q2L变速箱异响要求解决,变速器异响,2020-06-19,信息审核
486221,上汽大众,朗逸,2013款 1.6L 自动 经典风尚版,上汽大众朗逸车内异味严重无法解决,车身附件及电器车内异味,2020-06-19,信息审核
486220,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车灯进水干燥后有水印,车身附件及电器车灯进水,2020-06-19,处理反馈
486218,Jeep（进口）,指南者（进口）,2014款 2.0L 自动 两驱 运动版,进口Jeep指南者车内异味严重无法散去,车身附件及电器车内异味,2020-06-19,信息审核
486215,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影销售承诺不兑现 不给合同	,服务态度态度蛮横承诺不兑现销售承诺不兑现服务流程不完善手续不齐,2020-06-19,信息审核
486214,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机漏油 漏防冻液,发动机漏油发动机漏防冻液,2020-06-19,信息审核
486213,领克汽车,领克03,2019款 2.0TD 自动 劲Pro版,领克03故障灯亮 4S店错误判断维修,发动机故障灯亮人员技术维修技术差,2020-06-19,信息审核
486208,路虎进口,揽胜星脉,2019款 250PS R-DYNAMIC S,路虎揽胜星脉颠簸路车内低频共鸣压耳,车身附件及电器车身共振,2020-06-19,厂家受理
486206,吉利汽车,星越,2020款 350T 驭星者AWD,吉利星越车机系统存在虚假宣传 空调异味,车身附件及电器空调异味销售欺诈与宣传不符,2020-06-19,信息审核
486200,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来行驶中有晃动跳动现象,前后桥及悬挂系统行驶中颠簸,2020-06-19,处理反馈
486194,一汽-大众,速腾,2014款 1.4TSI 自动 时尚型,一汽大众速腾前挡风玻璃自然开裂,车身附件及电器玻璃开裂,2020-06-19,信息审核
486191,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智油箱口附近漆面脱落,车身附件及电器漆面起泡开裂,2020-06-19,信息审核
486190,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越4S店喷漆质量差导致起泡,人员技术维修技术差,2020-06-19,信息审核
486188,东风雪铁龙,世嘉,2011款 1.6 自动 时尚型 三厢,东风雪铁龙世嘉3挡锁死提示变速箱故障,变速器故障灯亮变速器滑阀箱故障,2020-06-19,信息审核
486187,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408四个轮毂不同程度氧化,车身附件及电器轮毂问题,2020-06-19,信息审核
486186,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸前挡风玻璃无故开裂,车身附件及电器玻璃开裂,2020-06-19,信息审核
486185,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯里面有雾气不予解决,车身附件及电器车灯进水,2020-06-19,处理反馈
486184,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁机油增多超过标尺上限,发动机机油增多,2020-06-19,信息审核
486183,华晨宝马,宝马5系,2014款 528Li 领先型,华晨宝马5系左前大灯脱皮影响驾驶,车身附件及电器灯罩裂纹或变形,2020-06-19,信息审核
486182,东风乘用车,风神AX7,2019款 1.6T 自动 AI领航型 国V,东风风神AX7转向异响 开关车门异响,转向系统异响车身附件及电器门窗异响,2020-06-19,处理反馈
486181,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1无法启动4S店无配件更换,配件争议无零配件,2020-06-19,信息审核
486178,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7踩油门加速时发动机无动力,发动机功率不足,2020-06-19,处理反馈
486177,一汽丰田,威驰FS,2017款 1.5L CVT 锋驰版,一汽丰田威驰FS正副驾车门有断裂现象,车身附件及电器部件开裂,2020-06-19,信息审核
486176,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机卡顿 转向时存在异响,转向系统异响销售欺诈与宣传不符,2020-06-19,信息审核
486170,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度启动后存在打齿声音,发动机异响,2020-06-19,信息审核
486166,吉利汽车,经典帝豪,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪车身生锈 行驶时变速箱异响,变速器异响车身附件及电器车身生锈车身附件及电器灯罩裂纹或变形,2020-06-19,信息审核
486165,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS导航定位不准确发生偏移,车身附件及电器导航问题,2020-06-19,处理反馈
486163,吉利汽车,星越,2019款 300T 耀星者,吉利星越方向左偏 车机黑屏并且死机,前后桥及悬挂系统跑偏车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-19,信息审核
486162,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达升级的多媒体系统与宣传不符,销售欺诈与宣传不符,2020-06-19,信息审核
486154,奔驰（进口）,奔驰GLE,2018款 GLE 400 4MATIC 臻藏版,进口奔驰GLE车内异味希望厂家处理问题,车身附件及电器车内异味,2020-06-19,信息审核
486151,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS车载微信功能与宣传不符,销售欺诈与宣传不符,2020-06-19,处理反馈
486149,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱异响燃油泵声音大,变速器异响车身附件及电器汽油泵故障,2020-06-19,处理反馈
486148,长安跨越,新豹T3,2018款 1.2L 舒适型 单排 后单轮 标准货箱,长安跨越新豹T3配件质量差要求退换车,配件争议配件质量差,2020-06-19,处理反馈
486146,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,制动系统异响,2020-06-19,信息审核
486145,比亚迪,比亚迪S7,2015款 2.0T 自动 豪华型,比亚迪S7换挡困难 变速箱抖动 模块压力不够,变速器无法换挡变速器抖动变速器电脑板故障,2020-06-19,处理反馈
486144,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越挡位指示灯与厂家宣传不符,销售欺诈与宣传不符,2020-06-19,信息审核
486143,上汽集团,名爵6,2017款 20T 自动 Trophy尊享互联网版 国V,上汽名爵6电瓶亏电希望尽快处理,车身附件及电器电瓶故障,2020-06-19,厂家受理
486142,沃尔沃亚太,沃尔沃S60,2017款 2.0T T4 智远版,亚太沃尔沃S60高压油泵故障导致故障灯亮,发动机故障灯亮车身附件及电器汽油泵故障,2020-06-19,信息审核
486140,吉利汽车,博越,2016款 1.8TD 自动 两驱 智慧型,吉利博越四个轮毂发生不同程度氧化,车身附件及电器轮毂问题,2020-06-19,信息审核
486136,东风日产,楼兰,2015款 2.5L 两驱 智尚版 XL,东风日产楼兰变速箱压力控制阀故障,变速器滑阀箱故障,2020-06-19,处理反馈
486135,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安启停失灵自动驻车失灵故障灯亮,制动系统手刹故障车身附件及电器行车安全辅助系统故障,2020-06-19,信息审核
486133,上汽通用五菱,宝骏E100,2019款 250KM 智行版,宝骏E100车身掉漆 偶尔无法换挡,变速器无法换挡车身附件及电器漆面起泡开裂,2020-06-19,厂家受理
486131,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏大面积开裂,车身附件及电器影音系统故障车身附件及电器部件开裂,2020-06-19,信息审核
486128,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 进取型,一汽大众奥迪Q5车内异味召回后依然很大,车身附件及电器车内异味其他召回方案不合理,2020-06-19,信息审核
486127,吉利汽车,帝豪,2017款 1.5L 手动 向上互联版 三厢 百万款,吉利帝豪打方向盘时有异响一直未解决,转向系统异响,2020-06-19,信息审核
486125,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,车身附件及电器影音系统故障服务态度不解决问题承诺不兑现销售承诺不兑现配件争议配件质量差,2020-06-19,处理反馈
486122,一汽-大众,宝来,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,车身附件及电器密封条损坏,2020-06-19,处理反馈
486117,捷豹,捷豹F-PACE,2019款 2.0T 四驱 都市尊享版,捷豹F-PACE经销商销售维修过的问题车,销售欺诈出售问题车,2020-06-19,用户评分
486115,一汽-大众奥迪,奥迪Q5,2010款 2.0TFSI  双离合 舒适型,一汽大众奥迪Q5变速箱功能失效无法挂挡,变速器无法换挡变速器故障灯亮,2020-06-19,信息审核
486113,一汽马自达,睿翼,2011款 2.0 自动 精英版,一汽马自达睿翼仪表台开裂发粘厂家未回复,车身附件及电器仪表台开裂,2020-06-19,信息审核
486112,广汽三菱,欧蓝德,2016款 2.4L 四驱精英版 5座,广汽三菱欧蓝德座椅生锈行驶时方向跑偏,前后桥及悬挂系统跑偏车身附件及电器车身生锈,2020-06-19,厂家受理
486109,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型 贺岁版,众泰T700打方向沉重厂家无配件提供,转向系统打方向沉重转向系统失灵配件争议无零配件,2020-06-19,厂家受理
486106,北京奔驰,奔驰C级,2015款 200 L 运动型,北京奔驰C级4S店更换发动机未变更登记信息,人员技术操作不规范,2020-06-19,信息审核
486105,北汽昌河,昌河Q35,2016款 1.5L 自动 炫酷版,北汽昌河Q35仪表显示安全气囊故障灯亮,车身附件及电器气囊故障,2020-06-19,信息审核
486101,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯报警希望处理,发动机故障灯亮,2020-06-19,信息审核
486095,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700门把手损坏前轴承损坏右后胎压失灵,前后桥及悬挂系统车轮异响车身附件及电器胎压监测故障车身附件及电器车门把手故障,2020-06-19,厂家受理
486092,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机烧机油希望尽快解决,发动机烧机油,2020-06-19,信息审核
486089,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6 SOS灯常亮要求质保维修,车身附件及电器行车安全辅助系统故障,2020-06-19,处理反馈
486085,上汽斯柯达,昊锐,2012款 1.8TSI 自动 优雅版,斯柯达昊锐车内异味越来越严重影响健康,车身附件及电器车内异味,2020-06-19,信息审核
486084,东风启辰,晨风,2014款 6.6KW 纯电动  领风版,启辰晨风动力电池衰减30%导致续航里程不足,车身附件及电器动力电池故障,2020-06-19,信息审核
486083,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,领克01低速加速发动机异响 4S店无法解决,发动机异响服务态度不解决问题,2020-06-19,处理反馈
486080,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际连接蓝牙通话无声音 导航不予升级,车身附件及电器导航问题车身附件及电器车载互联故障承诺不兑现销售承诺不兑现,2020-06-19,处理反馈
486079,长安马自达,马自达3 昂克赛拉,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉中控屏脱胶开裂影响使用,车身附件及电器影音系统故障,2020-06-19,处理反馈
486077,吉利汽车,远景,2018款 1.5L 自动 尊贵型,吉利远景经销商丢失钥匙和车辆合格证,服务流程不完善手续不齐服务流程不完善原车配套不全,2020-06-19,处理反馈
486071,上汽集团,名爵ZS,2017款 1.5L 手动 豪华版,上汽名爵ZS变速箱换挡顿挫 刹车片偏磨,变速器顿挫制动系统异常磨损,2020-06-19,厂家受理
486068,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁日间行车灯灯带有一半不亮,车身附件及电器车灯不亮,2020-06-19,信息审核
486066,福特（进口）,探险者（进口）,2016款 2.3T 精英版,进口福特探险者刹车片脱落要求厂家解决,制动系统刹车片移位,2020-06-19,厂家受理
486065,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁发动机故障灯亮希望解决,发动机故障灯亮,2020-06-19,信息审核
486063,长安标致雪铁龙DS,DS5,2014款 1.6T 雅致版THP160,长安标致雪铁龙DS5冷车启动时发动机异响,发动机异响,2020-06-19,信息审核
486062,吉利汽车,帝豪,2017款 1.5L 手动 向上版 三厢 百万款,吉利帝豪转向时存在异响要求厂家处理,转向系统异响,2020-06-19,处理反馈
486061,北京现代,朗动,2013款 1.6L 自动 尊贵型,北京现代朗动变速箱降挡顿挫一直未解决,变速器顿挫服务态度不解决问题,2020-06-19,信息审核
486058,上汽集团,荣威RX5 MAX,2019款 400TGI 自动 智能座舱旗舰版,上汽荣威RX5 MAX怠速时发动机抖动,发动机抖动车身附件及电器后视镜故障,2020-06-19,信息审核
486057,众泰汽车,众泰T600,2014款 1.5T 手动 精英型,众泰T600节气门漏气导致行驶中加速无力,发动机气门故障,2020-06-19,厂家受理
486056,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,一汽大众奥迪Q3发动机高压油泵异响,发动机异响,2020-06-19,信息审核
486051,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫水泵故障水温过高且无报警,发动机冷却系统故障发动机水泵故障,2020-06-19,信息审核
486049,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘磨损脱皮存在质量问题,车身附件及电器部件异常磨损,2020-06-19,处理反馈
486048,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机要求厂家更换硬件,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-19,处理反馈
486047,江淮汽车,瑞风M3,2019款 宜家版 1.8L 豪华 智能型,江淮瑞风M3行驶时跑偏轮胎异常磨损,前后桥及悬挂系统吃胎偏磨前后桥及悬挂系统跑偏服务态度不解决问题,2020-06-19,处理反馈
486044,吉利汽车,星越,2019款 350T 耀星者,吉利星越4S店销售人员故意隐瞒厂家增购补贴,承诺不兑现销售承诺不兑现,2020-06-19,用户评分
486040,长城汽车,哈弗H5,2016款 2.0T 四驱精英型 经典版,哈弗H5发动机怠速不稳 涡轮增压器漏油,发动机功率不足发动机怠速不稳发动机涡轮增压器故障,2020-06-19,用户评分
486039,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 时尚版,奇瑞艾瑞泽5空调漏氟 车载互联无网络,车身附件及电器电瓶故障车身附件及电器车载互联故障,2020-06-19,处理反馈
486038,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞喷漆不匀且有生锈现象,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020-06-19,信息审核
486037,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,变速器异响,2020-06-19,处理反馈
486034,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,大众途观L行驶中提示变速箱进入紧急状态,变速器故障灯亮变速器滑阀箱故障变速器机械部件故障,2020-06-19,信息审核
486031,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁座椅调节支撑锈蚀掉渣,车身附件及电器车身生锈,2020-06-19,信息审核
486030,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无动力输出无法正常行驶,变速器无法加速,2020-06-19,信息审核
486029,上汽大众,朗逸,2019款 朗逸启航 1.5L 手动 舒适版 国VI,上汽大众朗逸刹车异响4S店告知正常,制动系统异响,2020-06-19,信息审核
486027,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机异响 刹车踏板震动,发动机异响转向系统抖动制动系统抖动,2020-06-19,处理反馈
486026,广汽丰田,凯美瑞,2009款 200G 自动 豪华版,广汽丰田凯美瑞中控仪表台腐蚀氧化掉皮,车身附件及电器仪表台开裂,2020-06-19,信息审核
486025,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际氛围灯与宣传不符希望厂家处理,销售欺诈与宣传不符,2020-06-19,用户评分
486022,上汽通用五菱,宝骏310W,2017款 1.5L 手动 舒适型 国V,宝骏310W车辆自燃要求尽快处理问题,车身附件及电器车辆自燃,2020-06-19,处理反馈
486017,东风标致,标致4008,2017款 380THP 豪华GT版,东风标致4008承诺不兑现升级车机后音响无声,车身附件及电器影音系统故障承诺不兑现服务承诺不兑现,2020-06-19,处理反馈
486016,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5前雨刮器导水槽漏水存在质量问题,车身附件及电器车身漏水,2020-06-19,信息审核
486013,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫发动机运转时高压油泵异响,发动机异响,2020-06-19,处理反馈
486009,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱阀体故障无法加速,变速器无法加速变速器滑阀箱故障,2020-06-19,处理反馈
486008,一汽-大众,宝来,2019款 1.5L 自动 时尚型,一汽大众宝来大灯进水胎压误报自动驻车故障,车身附件及电器车灯进水车身附件及电器行车安全辅助系统故障车身附件及电器胎压监测故障,2020-06-19,处理反馈
486002,广汽本田,雅阁,2018款 260TURBO 旗舰版 国V,广汽本田雅阁胎压监测误报警 车身异响,车身附件及电器车身异响车身附件及电器车载互联故障车身附件及电器胎压监测故障,2020-06-19,信息审核
486001,昌河铃木,北斗星X5,2015款 1.4L 巡航版,昌河铃木北斗星X5油表不准 转向时有异响,转向系统异响车身附件及电器中控台异响车身附件及电器后备箱故障车身附件及电器仪表故障车身附件及电器中控锁故障,2020-06-19,信息审核
485995,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度发动机冷车启动异响要求解决,发动机异响,2020-06-19,信息审核
485994,一汽-大众,速腾,2013款 2.0TSI GLI,一汽大众速腾发动机和变速箱漏油,发动机漏油变速器漏油,2020-06-19,处理反馈
485988,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内出现的质量问题不予索赔,服务态度不予索赔,2020-06-19,处理反馈
